Trimestre;Sentido transacción;Ramas actividad;Código (armonización según CNAE y CNPA);Evolución trimestral del volumen de negocio (€)
2022T2;Desde España con el exterior;Artículos de regalo;4778;10081735,12
2022T2;Desde España con el exterior;Artículos médicos y ortopédicos;4774;571878,17
2022T2;Desde España con el exterior;Asociacionismo y beneficencia;94;26723188,58
2022T2;Desde España con el exterior;Bebidas;4725;6613107,96
2022T2;Desde España con el exterior;Bibliotecas, museos y patrimonio cultural;91;20454405,74
2022T2;Desde España con el exterior;Bienes de segunda mano;4779;88493039,85
2022T2;Desde España con el exterior;Calzado y artículos de cuero;4772;98752376,42
2022T2;Desde España con el exterior;Carburantes para automoción;4730;386583,43
2022T2;Desde España con el exterior;Componentes y equipos electrónicos;4652;9654906,24
2022T2;Desde España con el exterior;Construcción de inmuebles y obras de ingeniería civil;41;505325,7
2022T2;Desde España con el exterior;Descargas de aplicaciones y contenidos y otros servicios de gestión;6312 + 6920;158238400,49
2022T2;Desde España con el exterior;Discos, libros, periódicos y papelería;4761 + 4763;53631567,06
2022T2;Desde España con el exterior;Educación;85;57528410,07
2022T2;Desde España con el exterior;Electrodomésticos,  imagen y sonido;4743+4754;59512789
2022T2;Desde España con el exterior;Energía eléctrica, gas, vapor y aire acondicionado;35;6460236,71
2022T2;Desde España con el exterior;Ensayos y análisis técnicos;7120;432277,82
2022T2;Desde España con el exterior;Equipos de telecomunicaciones y recargas telefónicas;61 + 4742;67264560,63
2022T2;Desde España con el exterior;Equipos y mobiliario de oficina;4665+4666;4530382,47
2022T2;Desde España con el exterior;Espectáculos artísticos, deportivos y recreativos;90 + 7990;185705834,16
2022T2;Desde España con el exterior;Ferretería, pinturas y vidrio;4674 + 4752;121197598,49
2022T2;Desde España con el exterior;Floristerías;4622;613390,93
2022T2;Desde España con el exterior;Galerías de arte comerciales;470069;75996340,81
2022T2;Desde España con el exterior;Grandes almacenes;4719;293195744,13
2022T2;Desde España con el exterior;Hipermercados, supermercados y tiendas de alimentación;4711;121295952,77
2022T2;Desde España con el exterior;Hoteles  y alojamientos similares;5510;412849716,36
2022T2;Desde España con el exterior;Instalaciones de edificios y obras;43;1640422,56
2022T2;Desde España con el exterior;Intermediación financiera;6419 + 6619;199276574,39
2022T2;Desde España con el exterior;Intermediarios de comercio;4617;19671279,45
2022T2;Desde España con el exterior;Juegos de azar y apuestas;92;476052397,95
2022T2;Desde España con el exterior;Juguetes y artículos de deporte;4764 + 4765;82822169,66
2022T2;Desde España con el exterior;Lavanderías y tintorerías;9601;75168,45
2022T2;Desde España con el exterior;Madera, materiales de construcción y aparatos sanitarios;4673;577157,7
2022T2;Desde España con el exterior;Manipulación y depósito de mercancías;5224 + 5210;281945,36
2022T2;Desde España con el exterior;Mantenimiento físico corporal;9604;3336593,7
2022T2;Desde España con el exterior;Mantenimiento y  reparación de vehículos de motor;4520;1771214,24
2022T2;Desde España con el exterior;Marketing directo;4799;88264201,05
2022T2;Desde España con el exterior;Materias primas y productos semielaborados;4676;1676372,49
2022T2;Desde España con el exterior;Metales y minerales metálicos;4672;60427,71
2022T2;Desde España con el exterior;Muebles, iluminación y hogar;4753 + 4759;19645708,21
2022T2;Desde España con el exterior;Óptica, fotografía y precisión;470083;14548720,72
2022T2;Desde España con el exterior;Ordenadores y programas informáticos;4651 + 4741;130934287,24
2022T2;Desde España con el exterior;Otra reparación;9529;47989571,59
2022T2;Desde España con el exterior;Otro comercio especializado en alimentación;4729;230928,2
